name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,php,2,21,423,322.034,734856,0,0% 77% 23% 1%,322.307
binarytrees,java,7,21,835,28.275,933808,0,82% 86% 84% 88%,8.388
binarytrees,fsharpcore,3,21,531,24.892,819252,0,12% 16% 14% 70%,22.534
binarytrees,go,1,21,482,97.604,265700,0,43% 46% 46% 41%,55.803
binarytrees,mri,3,21,400,1306.592,839892,0,23% 20% 30% 29%,1307.567
binarytrees,gpp,8,21,820,13.558,221456,0,71% 98% 55% 40%,5.191
binarytrees,jruby,5,21,1083,235.587,2333064,0,95% 94% 95% 94%,63.732
binarytrees,ghc,3,21,538,0.000,0,-11,%,0.000
binarytrees,jruby,1,21,376,175.312,2330784,0,27% 22% 61% 57%,105.586
binarytrees,racket,2,21,416,29.779,501312,0,0% 1% 100% 0%,29.807
binarytrees,csharpcore,1,21,600,32.768,1169000,0,30% 31% 37% 20%,28.535
binarytrees,vw,1,21,725,75.928,375100,0,0% 100% 1% 0%,76.028
binarytrees,racket,3,21,473,28.290,493956,0,0% 0% 0% 100%,28.314
binarytrees,erlang,2,21,478,53.728,511840,0,88% 83% 91% 86%,15.509
binarytrees,php,6,21,868,235.574,736468,0,93% 94% 92% 98%,65.199
binarytrees,go,5,21,950,127.223,407804,0,99% 99% 99% 99%,32.098
binarytrees,ghc,4,21,618,0.000,0,-10,0% 0% 0% 0%,0.016
binarytrees,gpp,2,21,508,36.185,265092,0,100% 1% 1% 0%,36.208
binarytrees,erlang,1,21,420,45.944,521296,0,100% 1% 1% 0%,45.953
binarytrees,php,4,21,770,316.718,1552072,0,67% 89% 70% 71%,112.737
binarytrees,ghc,1,21,494,52.226,711956,0,91% 37% 36% 45%,25.127
binarytrees,chapel,1,21,484,43.738,298452,0,100% 77% 76% 58%,14.145
chameneosredux,csharpcore,1,6000000,1400,23.967,65052,0,85% 98% 71% 92%,6.989
chameneosredux,python3,2,6000000,908,317.359,10688,0,40% 34% 33% 40%,209.169
chameneosredux,gpp,5,6000000,1994,2.712,3584,0,100% 100% 99% 99%,0.690
chameneosredux,ocaml,3,6000000,1155,955.298,5908,0,35% 39% 38% 36%,624.872
chameneosredux,java,4,6000000,1615,17.276,36052,0,97% 98% 53% 98%,5.031
chameneosredux,sbcl,3,6000000,2922,3.883,19956,0,95% 98% 99% 96%,1.013
chameneosredux,rust,1,6000000,1455,261.121,2000,0,60% 57% 52% 51%,121.844
chameneosredux,yarv,1,6000000,923,226.811,9172,0,37% 37% 32% 32%,156.502
chameneosredux,racket,2,6000000,855,249.907,107480,0,84% 1% 1% 17%,249.939
chameneosredux,java,2,6000000,1429,24.065,75412,0,96% 61% 86% 65%,7.834
chameneosredux,gnat,5,6000000,2921,32.294,4524,0,85% 51% 36% 82%,12.647
chameneosredux,perl,4,6000000,789,566.520,12192,0,31% 34% 34% 33%,419.390
chameneosredux,go,5,6000000,957,31.812,1532,0,72% 75% 74% 72%,10.943
chameneosredux,chapel,2,6000000,1210,6.472,4000,0,99% 99% 58% 98%,1.832
chameneosredux,go,1,6000000,1167,21.330,1536,0,99% 91% 67% 99%,6.000
chameneosredux,mri,1,6000000,923,0.000,0,-2,%,0.000
chameneosredux,racket,1,6000000,805,467.264,114068,0,0% 24% 77% 0%,467.325
chameneosredux,gpp,1,6000000,2454,18.348,4072,0,97% 97% 94% 93%,4.837
chameneosredux,java,3,6000000,1267,27.164,79848,0,96% 87% 82% 74%,8.028
chameneosredux,erlang,1,6000000,734,131.188,28668,0,62% 60% 51% 53%,58.902
chameneosredux,go,2,6000000,1408,27.606,1540,0,99% 67% 99% 99%,7.622
chameneosredux,gcc,5,6000000,2868,2.384,980,0,100% 97% 98% 100%,0.606
chameneosredux,jruby,1,6000000,934,96.385,771536,0,58% 59% 68% 69%,38.375
chameneosredux,hipe,1,6000000,734,143.410,23332,0,62% 62% 55% 54%,62.300
chameneosredux,java,1,6000000,1770,12.304,58808,0,40% 32% 38% 42%,7.982
chameneosredux,ghc,4,6000000,997,12.067,6100,0,97% 100% 3% 0%,6.106
chameneosredux,vw,2,6000000,2552,44.520,56572,0,1% 0% 100% 0%,44.568
chameneosredux,chapel,1,6000000,1199,16.540,3916,0,100% 99% 100% 100%,4.174
chameneosredux,ocaml,1,6000000,1293,279.535,5192,0,41% 39% 37% 42%,169.424
chameneosredux,rust,2,6000000,2890,6.989,2148,0,98% 97% 98% 98%,1.804
chameneosredux,gcc,2,6000000,1667,21.226,1076,0,69% 35% 88% 71%,8.243
chameneosredux,gpp,2,6000000,2020,12.914,2048,0,100% 100% 100% 55%,3.665
chameneosredux,gnat,2,6000000,6027,0.000,0,-11,%,0.000
chameneosredux,ghc,1,6000000,998,8.931,6216,0,79% 100% 2% 1%,4.987
fannkuchredux,csharpcore,2,12,564,52.761,31172,0,100% 0% 1% 0%,52.772
fannkuchredux,go,1,12,900,58.647,1540,0,100% 100% 99% 100%,14.721
fannkuchredux,node,1,12,471,109.120,31028,0,100% 0% 0% 0%,109.141
fannkuchredux,gcc,3,12,567,47.869,896,0,0% 0% 1% 100%,47.879
fannkuchredux,fsharpcore,3,12,945,87.195,37096,0,94% 86% 83% 99%,24.164
fannkuchredux,node,4,12,473,89.606,30960,0,0% 100% 0% 1%,89.626
fannkuchredux,erlang,1,12,1038,684.392,35840,0,99% 100% 96% 98%,174.585
fannkuchredux,fsharpcore,1,12,551,227.038,62512,0,24% 30% 27% 24%,218.865
fannkuchredux,ifc,3,12,1158,51.604,10848,0,100% 100% 100% 100%,12.932
fannkuchredux,racket,3,12,1101,337.433,23348,0,90% 90% 90% 100%,91.114
fannkuchredux,java,1,12,1282,72.057,31820,0,99% 99% 98% 98%,18.271
fannkuchredux,jruby,2,12,1432,2060.188,782020,0,96% 98% 100% 91%,536.233
fannkuchredux,hack,3,12,1160,894.821,86800,0,100% 99% 99% 99%,226.712
fannkuchredux,python3,4,12,950,2172.633,15528,0,95% 94% 95% 100%,565.965
fannkuchredux,csharpcore,3,12,1096,78.997,32884,0,98% 100% 100% 98%,20.053
fannkuchredux,gnat,3,12,2113,40.767,4504,0,100% 100% 99% 100%,10.234
fannkuchredux,rust,3,12,1020,0.000,0,-11,%,0.000
fannkuchredux,gcc,4,12,1183,22.652,852,0,0% 100% 1% 0%,22.658
fannkuchredux,fsharpcore,4,12,612,68.859,34816,0,100% 0% 1% 0%,68.872
fannkuchredux,mri,1,12,384,20148.458,4648,0,21% 45% 13% 22%,20154.110
fannkuchredux,mri,2,12,1432,0.000,0,-2,100% 0% 0% 50%,0.009
fannkuchredux,csharpcore,4,12,1172,74.982,33008,0,99% 99% 99% 100%,18.947
fannkuchredux,ghc,6,12,1113,60.919,3280,0,99% 98% 100% 100%,15.406
fannkuchredux,sbcl,2,12,517,94.877,18344,0,67% 1% 0% 34%,94.894
fannkuchredux,gpp,5,12,980,41.896,2044,0,100% 96% 100% 100%,10.610
fannkuchredux,sbcl,4,12,1527,65.549,33672,0,100% 98% 91% 99%,16.903
fannkuchredux,gpp,7,12,1150,25.354,852,0,0% 1% 0% 100%,25.360
fannkuchredux,gpp,3,12,593,68.228,900,0,0% 0% 0% 100%,68.241
fannkuchredux,java,3,12,1257,70.822,31804,0,1% 1% 1% 100%,70.629
fannkuchredux,php,1,12,482,1401.863,9360,0,1% 0% 0% 100%,1402.134
fannkuchredux,csharpcore,1,12,520,79.433,31700,0,100% 0% 1% 0%,79.447
fannkuchredux,php,3,12,1160,929.489,34748,0,100% 99% 100% 99%,233.570
fannkuchredux,java,2,12,514,76.665,32176,0,25% 0% 0% 75%,76.525
fannkuchredux,perl,3,12,427,1788.099,3756,0,13% 41% 1% 46%,1788.455
fannkuchredux,racket,2,12,908,292.865,23304,0,0% 1% 1% 100%,292.791
fannkuchredux,ocaml,3,12,1017,0.008,30620,0,100% 100% 100% 100%,16.123
fannkuchredux,csharpcore,5,12,1049,55.766,32724,0,97% 92% 98% 99%,14.444
fannkuchredux,fpascal,1,12,1050,71.353,1984,0,100% 100% 100% 100%,17.899
fannkuchredux,chapel,1,12,728,44.584,4000,0,100% 99% 100% 100%,11.216
fannkuchredux,gpp,1,12,1059,55.837,2020,0,99% 95% 99% 100%,14.246
fannkuchredux,sbcl,3,12,826,75.500,33632,0,0% 1% 100% 0%,75.519
fannkuchredux,go,2,12,896,59.533,10788,0,100% 100% 100% 100%,14.938
fannkuchredux,php,2,12,441,907.745,8892,0,0% 92% 9% 0%,907.922
fannkuchredux,gcc,5,12,910,34.221,980,0,100% 97% 100% 100%,8.659
fannkuchredux,gpp,2,12,1440,50.959,2252,0,100% 100% 99% 94%,13.017
fannkuchredux,python3,6,12,385,2402.521,10008,0,0% 54% 47% 1%,2403.110
fannkuchredux,ocaml,1,12,524,99.924,1836,0,0% 99% 2% 0%,99.942
fannkuchredux,hipe,1,12,1038,398.396,20880,0,97% 94% 100% 99%,103.248
fannkuchredux,fsharpcore,2,12,548,85.457,35400,0,0% 24% 77% 0%,85.477
fannkuchredux,ghc,4,12,665,239.537,3932,0,99% 100% 100% 99%,60.185
fannkuchredux,gcc,2,12,1557,60.645,948,0,96% 99% 97% 100%,15.501
fannkuchredux,ghc,3,12,1159,0.000,0,-11,%,0.000
fannkuchredux,swift,3,12,1102,40.207,7996,0,99% 100% 100% 100%,10.109
fannkuchredux,vw,1,12,927,694.064,53736,0,1% 100% 1% 1%,694.426
fannkuchredux,fsharpcore,7,12,953,64.800,36904,0,100% 98% 97% 95%,16.647
fannkuchredux,dart,2,12,495,91.766,44168,0,45% 48% 8% 0%,91.291
fannkuchredux,jruby,1,12,384,838.960,799468,0,25% 51% 13% 14%,825.187
fannkuchredux,hack,2,12,440,891.474,86260,0,3% 87% 1% 11%,891.673
fannkuchredux,sbcl,5,12,681,55.890,46576,0,0% 9% 92% 0%,55.906
fannkuchredux,yarv,1,12,384,1978.585,8828,0,1% 64% 36% 0%,1979.046
fannkuchredux,ghc,5,12,842,0.000,0,-11,%,0.000
fannkuchredux,csharpcore,6,12,1068,57.810,32708,0,100% 100% 99% 99%,14.532
fannkuchredux,gpp,4,12,1439,50.853,2176,0,99% 100% 100% 94%,12.985
fannkuchredux,fsharpcore,8,12,949,65.091,36616,0,99% 95% 98% 99%,16.706
fannkuchredux,ghc,2,12,808,0.000,0,-11,%,0.000
fannkuchredux,ocaml,4,12,1004,0.008,19304,0,100% 100% 100% 100%,16.530
fannkuchredux,hack,1,12,532,2347.891,86416,0,8% 30% 1% 63%,2348.381
fannkuchredux,ghc,1,12,559,639.124,6180,0,28% 37% 22% 44%,492.576
fannkuchredux,rust,2,12,1191,47.315,1832,0,99% 100% 95% 99%,12.069
fannkuchredux,typescript,1,12,445,147.207,31044,0,100% 0% 1% 0%,147.231
fannkuchredux,racket,1,12,649,304.302,23284,0,0% 39% 62% 0%,304.288
fannkuchredux,ocaml,2,12,473,85.473,1856,0,0% 1% 0% 100%,85.488
fannkuchredux,gcc,1,12,508,72.300,812,0,100% 0% 1% 0%,72.314
fannkuchredux,yarv,2,12,1432,2613.659,30416,0,98% 100% 100% 92%,671.166
fannkuchredux,fsharpcore,5,12,912,76.229,36856,0,99% 100% 99% 99%,19.355
fannkuchredux,fsharpcore,6,12,1025,71.318,35916,0,99% 98% 95% 98%,18.290
fannkuchredux,swift,1,12,451,58.750,4568,0,82% 19% 0% 0%,58.764
fannkuchredux,ifc,1,12,599,69.413,1412,0,0% 1% 100% 0%,69.430
fannkuchredux,perl,1,12,457,2378.727,3796,0,8% 1% 0% 92%,2379.217
fannkuchredux,perl,2,12,570,2198.553,11260,0,96% 99% 95% 97%,570.206
fannkuchredux,lua,1,12,462,1383.687,1460,0,0% 100% 1% 0%,1383.932
fannkuchredux,typescript,2,12,454,139.506,31248,0,0% 97% 4% 0%,139.532
fasta,swift,1,25000000,1527,11.978,7592,0,0% 1% 0% 100%,11.982
fasta,php,2,25000000,1050,98.902,9332,0,23% 0% 1% 77%,98.924
fasta,java,2,25000000,1257,8.062,36844,0,11% 91% 2% 1%,7.815
fasta,ghc,1,25000000,969,10.088,5164,0,100% 2% 2% 3%,9.555
fasta,rust,2,25000000,1906,0.000,0,-11,%,0.000
fasta,node,1,25000000,809,88.245,797988,0,18% 29% 25% 35%,83.122
fasta,php,3,25000000,1062,59.105,9412,0,40% 0% 1% 60%,59.118
fasta,fsharpcore,2,25000000,1308,17.030,313120,0,52% 47% 56% 45%,8.594
fasta,fsharpcore,1,25000000,1002,8.812,35732,0,0% 1% 100% 0%,8.816
fasta,sbcl,2,25000000,1622,17.869,22792,0,0% 100% 1% 0%,17.875
fasta,node,3,25000000,1128,10.736,34596,0,10% 0% 0% 90%,10.736
fasta,node,2,25000000,931,50.796,652684,0,14% 29% 48% 17%,47.145
fasta,gcc,5,25000000,1281,2.733,860,0,0% 1% 1% 100%,2.735
fasta,jruby,3,25000000,1002,141.578,823720,0,9% 19% 27% 53%,131.709
fasta,hipe,2,25000000,1164,29.152,21756,0,2% 1% 47% 54%,27.897
fasta,perl,2,25000000,922,281.212,5040,0,0% 1% 17% 83%,281.329
fasta,mri,4,25000000,913,531.371,275524,0,68% 0% 1% 32%,531.812
fasta,python3,1,25000000,817,143.644,10236,0,100% 1% 0% 1%,143.822
fasta,hack,3,25000000,1061,69.625,87024,0,1% 0% 0% 100%,69.657
fasta,fpascal,4,25000000,1140,10.848,8,0,100% 0% 1% 0%,10.851
fasta,yarv,3,25000000,1002,99.647,106544,0,0% 0% 100% 0%,99.674
fasta,gpp,4,25000000,1287,6.060,896,0,0% 0% 1% 100%,6.063
fasta,csharpcore,2,25000000,1195,6.351,32336,0,100% 0% 0% 1%,6.353
fasta,rust,1,25000000,1237,7.479,1752,0,1% 100% 0% 0%,7.482
fasta,mri,5,25000000,995,556.231,4372,0,2% 41% 12% 47%,556.960
fasta,perl,4,25000000,966,212.250,4864,0,0% 48% 7% 46%,212.365
fasta,erlang,1,25000000,1039,161.072,21608,0,18% 97% 4% 21%,116.935
fasta,gcc,4,25000000,1240,6.064,896,0,100% 1% 1% 1%,6.067
fasta,gnat,1,25000000,1379,10.355,2124,0,0% 0% 100% 1%,10.359
fasta,dart,1,25000000,1403,8.185,50560,0,1% 1% 99% 1%,8.104
fasta,gpp,1,25000000,1057,7.182,1824,0,1% 100% 1% 1%,7.185
fasta,gcc,2,25000000,2268,5.251,2912,0,100% 99% 100% 99%,1.324
fasta,mri,3,25000000,1002,0.000,0,-2,33% 33% 33% 100%,0.020
fasta,sbcl,6,25000000,1757,7.988,19688,0,33% 1% 1% 68%,7.991
fasta,csharpcore,4,25000000,1524,10.148,177428,0,88% 88% 99% 88%,2.811
fasta,node,4,25000000,1785,9.820,34804,0,100% 1% 0% 0%,9.798
fasta,ghc,2,25000000,1319,45.339,447320,0,88% 82% 86% 78%,13.710
fasta,gpp,6,25000000,2324,5.276,4372,0,89% 88% 90% 90%,1.487
fasta,sbcl,3,25000000,1587,10.206,18008,0,100% 1% 0% 0%,10.209
fasta,sbcl,1,25000000,1424,19.074,22728,0,0% 100% 0% 0%,19.080
fasta,rust,5,25000000,1961,0.000,0,-11,%,0.000
fasta,gpp,5,25000000,2344,5.317,4352,0,89% 89% 86% 89%,1.524
fasta,gpp,2,25000000,1127,5.098,1860,0,25% 77% 1% 0%,5.101
fasta,jruby,1,25000000,770,407.839,1034820,0,7% 12% 32% 54%,393.615
fasta,ifc,3,25000000,1215,4.727,8,0,100% 0% 0% 2%,4.729
fasta,erlang,2,25000000,1164,56.480,23568,0,99% 2% 4% 1%,54.484
fasta,java,4,25000000,1524,5.351,36388,0,2% 3% 3% 98%,5.106
fasta,gcc,1,25000000,1206,7.656,900,0,100% 1% 0% 0%,7.659
fasta,gpp,7,25000000,2711,4.183,1952,0,79% 78% 78% 79%,1.346
fasta,fsharpcore,3,25000000,1350,6.266,123472,0,93% 99% 93% 93%,1.665
fasta,yarv,2,25000000,743,202.482,204492,0,26% 75% 0% 0%,202.549
fasta,ocaml,3,25000000,1064,0.000,0,-11,%,0.000
fasta,gcc,6,25000000,1930,5.370,2660,0,5% 98% 98% 100%,1.821
fasta,rust,3,25000000,1233,3.835,2904,0,0% 0% 1% 100%,3.837
fasta,swift,2,25000000,1953,4.363,9004,0,71% 3% 82% 4%,2.784
fasta,lua,3,25000000,1061,50.701,2968,0,0% 100% 1% 0%,50.714
fasta,ocaml,6,25000000,1189,5.991,199732,0,0% 2% 100% 0%,5.996
fasta,go,3,25000000,1358,5.690,3640,0,84% 66% 70% 56%,2.077
fasta,typescript,1,25000000,1229,15.951,34000,0,0% 74% 26% 1%,15.953
fasta,go,1,25000000,1053,7.154,1472,0,0% 1% 100% 0%,7.155
fasta,hack,4,25000000,1147,41.515,86892,0,69% 4% 4% 32%,41.541
fasta,go,2,25000000,1404,6.313,10808,0,57% 47% 79% 49%,2.717
fasta,python3,5,25000000,1947,138.968,15996,0,55% 55% 63% 66%,59.465
fasta,ifc,4,25000000,1351,2.903,8,0,100% 0% 1% 2%,2.905
fasta,yarv,5,25000000,995,154.236,8892,0,0% 0% 100% 1%,154.381
fasta,gnat,5,25000000,2221,4.080,2092,0,0% 29% 72% 3%,4.083
fasta,gpp,3,25000000,1307,4.179,1888,0,1% 1% 1% 100%,4.182
fasta,vw,1,25000000,1536,47.324,56084,0,100% 1% 1% 0%,47.340
fasta,racket,3,25000000,1280,17.463,26148,0,0% 1% 100% 0%,17.469
fasta,chapel,2,25000000,1392,5.826,5728,0,100% 82% 82% 83%,1.690
fasta,hack,2,25000000,1047,44.448,86872,0,0% 46% 56% 0%,44.473
fasta,racket,1,25000000,1066,42.620,24936,0,1% 0% 0% 100%,42.623
fasta,csharpcore,3,25000000,1916,8.021,65188,0,98% 86% 87% 87%,2.252
fasta,swift,3,25000000,2096,7.854,31132,0,83% 85% 71% 94%,2.369
fasta,python3,2,25000000,1121,109.525,10456,0,100% 1% 0% 0%,109.551
fasta,rust,4,25000000,939,7.144,124384,0,100% 1% 0% 0%,7.148
fasta,gcc,7,25000000,2011,5.284,2896,0,100% 98% 97% 96%,1.361
fasta,yarv,4,25000000,913,149.187,191216,0,0% 7% 0% 94%,149.340
fasta,mri,2,25000000,743,704.162,248152,0,39% 15% 7% 44%,704.412
fasta,lua,2,25000000,1061,50.064,2920,0,0% 7% 94% 0%,50.078
fasta,java,5,25000000,2473,5.926,43628,0,51% 75% 57% 81%,2.268
fasta,ifc,1,25000000,1190,6.221,8,0,0% 61% 40% 0%,6.224
fasta,hipe,1,25000000,1039,151.652,20868,0,33% 39% 49% 24%,105.446
fasta,csharpcore,1,25000000,2098,7.968,65216,0,95% 99% 95% 95%,2.086
fasta,perl,1,25000000,871,99.614,54044,0,0% 1% 0% 100%,99.637
fasta,python3,3,25000000,1003,109.362,10460,0,0% 0% 0% 100%,109.388
fasta,chapel,1,25000000,1218,9.101,4820,0,100% 1% 0% 0%,9.094
knucleotide,csharpcore,2,25000000,1018,141.605,1057704,0,24% 28% 29% 23%,137.993
knucleotide,vw,5,25000000,1303,651.608,387932,0,39% 63% 34% 21%,652.474
knucleotide,sbcl,6,25000000,2479,63.339,542680,0,88% 89% 100% 88%,17.373
knucleotide,csharpcore,6,25000000,1603,38.177,184192,0,97% 72% 50% 51%,14.247
knucleotide,mri,2,25000000,420,861.763,168116,0,57% 0% 1% 43%,862.586
knucleotide,perl,4,25000000,476,215.416,1068544,0,78% 78% 83% 97%,64.223
knucleotide,swift,2,25000000,1366,81.360,233016,0,96% 91% 95% 91%,21.885
knucleotide,yarv,7,25000000,858,342.071,381212,0,97% 86% 86% 91%,95.269
knucleotide,gpp,3,25000000,1276,26.024,165180,0,80% 96% 82% 79%,7.750
knucleotide,typescript,1,25000000,719,0.000,0,-2,0% 0% 89% 0%,0.083
knucleotide,dart,1,25000000,610,313.230,411572,0,10% 45% 47% 1%,310.986
knucleotide,erlang,1,25000000,930,523.908,3590628,0,57% 71% 71% 71%,242.573
knucleotide,go,6,25000000,1590,50.888,147984,0,79% 87% 97% 96%,14.215
knucleotide,csharpcore,7,25000000,1838,53.911,841468,0,92% 76% 76% 82%,16.665
knucleotide,ocaml,1,25000000,875,0.000,0,-11,%,0.000
knucleotide,jruby,3,25000000,540,867.727,1151568,0,92% 87% 89% 89%,243.377
knucleotide,hipe,1,25000000,936,331.812,3270888,0,73% 59% 62% 56%,143.453
knucleotide,python3,1,25000000,607,415.629,309992,0,94% 72% 76% 74%,131.599
knucleotide,java,1,25000000,1812,27.091,385056,0,85% 72% 70% 85%,8.748
knucleotide,gpp,1,25000000,1446,24.109,756276,0,88% 13% 21% 90%,11.515
knucleotide,perl,1,25000000,652,226.024,1253764,0,87% 90% 88% 84%,65.911
knucleotide,python3,3,25000000,1967,302.859,182700,0,97% 99% 97% 98%,77.651
knucleotide,java,3,25000000,1635,41.540,381676,0,78% 89% 90% 80%,12.363
knucleotide,swift,1,25000000,1231,83.653,181548,0,80% 83% 96% 79%,24.920
knucleotide,go,1,25000000,986,176.100,391312,0,76% 95% 82% 86%,52.175
knucleotide,erlang,3,25000000,932,499.140,892448,0,69% 71% 94% 56%,175.103
knucleotide,csharpcore,9,25000000,2283,39.447,201500,0,78% 74% 97% 73%,12.309
knucleotide,perl,3,25000000,513,234.721,1146448,0,71% 75% 94% 95%,69.990
knucleotide,java,5,25000000,2219,79.183,228788,0,54% 94% 14% 62%,35.513
knucleotide,hipe,3,25000000,937,323.769,798548,0,83% 67% 69% 70%,113.833
